feature,games,accuracy,log_loss,brier
air_yards_per_attempt_ewm_diff,3018,0.549039098740888,0.6886675667780163,0.2477473989874635
def_plays_per_drive_l8_diff,3018,0.5497017892644135,0.6887647767639461,0.24780715975287956
def_completion_rate_std_diff,3018,0.5487077534791253,0.6887840474504382,0.2477872116455371
def_fourth_down_rate_l3_diff,3018,0.5493704440026508,0.6887972980109992,0.247816607108842
penalty_rate_std_diff,3018,0.5483764082173624,0.6888789591859238,0.2478546817404807
def_fourth_down_rate_std_diff,3018,0.5497017892644135,0.6888877703711792,0.24786865100093636
def_red_zone_td_rate_l3_diff,3018,0.5497017892644135,0.6888899212145041,0.24786957216321007
def_sack_rate_std_diff,3018,0.550364479787939,0.6889352920246958,0.2478612090482291
def_total_epa_std_diff,3018,0.5500331345261763,0.6889539541877169,0.2478272721676548
def_plays_per_drive_l5_diff,3018,0.5497017892644135,0.6889544610808639,0.24790024550785678
def_red_zone_td_rate_ewm_diff,3018,0.5497017892644135,0.6889595027786908,0.2479035331458339
def_plays_per_drive_ewm_diff,3018,0.5497017892644135,0.6889926097773549,0.2479185330610738
def_pass_success_std_diff,3018,0.5457256461232605,0.6889933479015453,0.24791359649554018
air_yards_per_attempt_l3_diff,3018,0.547713717693837,0.6890035061820086,0.247912921319763
def_rush_epa_l8_diff,3018,0.5497017892644135,0.6890120543837425,0.2479216062054039
def_epa_per_play_std_diff,3018,0.5500331345261763,0.6890140788511315,0.24784871427974478
def_air_yards_per_attempt_ewm_diff,3018,0.5497017892644135,0.6891375367339114,0.24799145815115672
def_red_zone_td_rate_l8_diff,3018,0.5497017892644135,0.6891526378815622,0.24799811950649348
def_air_yards_per_attempt_l8_diff,3018,0.5497017892644135,0.6891558634977893,0.24800038009859948
def_air_yards_per_attempt_l3_diff,3018,0.5497017892644135,0.689164271174629,0.24800460941484476
def_rush_success_l3_diff,3018,0.5497017892644135,0.6891726809107427,0.2480052043838125
def_cpoe_std_diff,3018,0.5506958250497018,0.6891754226131007,0.24799224225023142
air_yards_per_attempt_std_diff,3018,0.5444002650762094,0.6892426390494675,0.24800134245113223
def_penalty_rate_l3_diff,3018,0.5497017892644135,0.689257664372253,0.24805033443756616
def_penalty_rate_ewm_diff,3018,0.5497017892644135,0.6892653715477273,0.24805410697932415
def_plays_per_drive_l3_diff,3018,0.5497017892644135,0.6892740321554068,0.24805701819819737
def_air_yards_per_attempt_std_diff,3018,0.5497017892644135,0.6892923033705741,0.24806720837886975
def_penalty_yards_per_play_l3_diff,3018,0.5497017892644135,0.689311056549443,0.2480766746995824
def_punt_rate_l5_diff,3018,0.5506958250497018,0.689323062948085,0.24807998073517892
def_penalty_yards_per_play_l5_diff,3018,0.5497017892644135,0.6893290727443971,0.2480851937289174
def_success_rate_std_diff,3018,0.5480450629555997,0.6893806681558643,0.2480925269521992
def_penalty_yards_per_play_ewm_diff,3018,0.5497017892644135,0.6893869136688355,0.24811359547051082
def_air_yards_per_attempt_l5_diff,3018,0.5497017892644135,0.6894172475388545,0.24812947851270173
def_penalty_yards_per_play_l8_diff,3018,0.5497017892644135,0.6894269683030796,0.248132934585308
def_fg_attempt_rate_std_diff,3018,0.5447316103379721,0.6894273455350489,0.24809755558734564
def_penalty_rate_l5_diff,3018,0.5497017892644135,0.689429848545387,0.24813423877067006
penalty_yards_per_play_l8_diff,3018,0.5427435387673957,0.6894338049959496,0.2481172141169375
def_penalty_rate_l8_diff,3018,0.5497017892644135,0.6894690684484251,0.2481532805903284
penalty_rate_l5_diff,3018,0.5467196819085487,0.6895192790262155,0.248171362449604
def_punt_rate_l3_diff,3018,0.5493704440026508,0.6895844387938947,0.2482062922992502
def_rush_success_ewm_diff,3018,0.5497017892644135,0.689597944414413,0.24821281052208688
def_penalty_rate_std_diff,3018,0.5493704440026508,0.6896432859294802,0.2482393178150829
def_penalty_yards_per_play_std_diff,3018,0.5493704440026508,0.6896974927552758,0.24826553240826466
penalty_rate_ewm_diff,3018,0.5450629555997349,0.6897362994182059,0.24827547834831334
def_punt_rate_ewm_diff,3018,0.549039098740888,0.6897447674476377,0.24828628247027298
def_rush_success_l5_diff,3018,0.5480450629555997,0.6897842295855666,0.2483003895473201
def_red_zone_td_rate_std_diff,3018,0.550364479787939,0.6898232189876121,0.24832641824859103
def_third_down_rate_std_diff,3018,0.5500331345261763,0.689870657442969,0.24834184704750753
def_punt_rate_l8_diff,3018,0.546388336646786,0.6898870094215325,0.24835443835374713
def_punt_rate_std_diff,3018,0.550364479787939,0.6900820560850658,0.24844998162090873
penalty_yards_per_play_std_diff,3018,0.5467196819085487,0.6901839409208184,0.24848844455237556
def_rush_epa_std_diff,3018,0.5497017892644135,0.690244651716197,0.24849858336355649
def_rush_success_l8_diff,3018,0.5493704440026508,0.6904017524138905,0.24860323936169698
def_rush_success_std_diff,3018,0.5480450629555997,0.6904688169767488,0.24864106182318288
def_first_down_rate_std_diff,3018,0.5483764082173624,0.6904800424337498,0.24863399642488154
penalty_rate_l3_diff,3018,0.5457256461232605,0.6905826715881386,0.24869937876724793
penalty_yards_per_play_l5_diff,3018,0.5420808482438702,0.6909037612972384,0.24884702121751376
penalty_yards_per_play_ewm_diff,3018,0.5414181577203446,0.6912532902811221,0.2490253254548988
penalty_yards_per_play_l3_diff,3018,0.5460569913850232,0.6914514561509074,0.24912157298514315
